2525Charlie1stTen,2525Charlie,2525DeltaSymbolSet,2525DeltaEntity,2525DeltaMod1,2525DeltaMod2,Remarks
SUAPM-----,SUAPM-----*****,01,110000,00,00,
SUAPMF----,SUAPMF----*****,01,110100,00,00,
SUAPMFO---,SUAPMFO---*****,01,110101,00,00,
SUAPMFA---,SUAPMFA---*****,01,110102,00,00,
SUAPMFB---,SUAPMFB---*****,01,110103,00,00,
SUAPMFF---,SUAPMFF---*****,01,110104,00,00,
,,01,110105,00,00,
SUAPMFFI--,SUAPMFFI--*****,01,110106,00,00,
SUAPMFC---,SUAPMFC---*****,01,110107,00,00,
SUAPMFCL--,SUAPMFCL--*****,01,110107,00,03,
SUAPMFCM--,SUAPMFCM--*****,01,110107,00,02,
SUAPMFCH--,SUAPMFCH--*****,01,110107,00,01,
SUAPMFJ---,SUAPMFJ---*****,01,110108,00,00,
SUAPMFK---,SUAPMFK---*****,01,110109,00,00,
SUAPMFKB--,SUAPMFKB--*****,01,110109,00,04,
SUAPMFKD--,SUAPMFKD--*****,01,110109,00,05,
SUAPMFP---,SUAPMFP---*****,01,110110,00,00,
SUAPMFR---,SUAPMFR---*****,01,110111,00,00,
SUAPMFT---,SUAPMFT---*****,01,110112,00,00,
SUAPMFU---,SUAPMFU---*****,01,110113,00,00,
SUAPMFUL--,SUAPMFUL--*****,01,110113,00,03,
SUAPMFUM--,SUAPMFUM--*****,01,110113,00,02,
SUAPMFUH--,SUAPMFUH--*****,01,110113,00,01,
SUAPMFL---,SUAPMFL---*****,01,110114,00,00,
SUAPMFD---,SUAPMFD---*****,01,110115,00,00,
SUAPMFRW--,SUAPMFRW--*****,01,110116,00,00,
SUAPMFPN--,SUAPMFPN--*****,01,110117,00,00,
SUAPMFS---,SUAPMFS---*****,01,110118,00,00,
SUAPMFY---,SUAPMFY---*****,01,110119,00,00,
SUAPMFH---,SUAPMFH---*****,01,110120,00,00,
SUAPMFRZ--,SUAPMFRZ--*****,01,110121,00,00,
,,01,110122,00,00,
